logFC	logCPM	LR	PValue	FDR
RP11-71E19.1	-3.71561222601515	3.92485559937585	701.185455312383	1.65165530516668e-154	3.75116329884972e-152
MAGI2-AS3	-2.0139394063746	10.2731415520706	692.942156467505	1.02444738734686e-152	2.24050437862341e-150
AC002066.1	-3.44903462120989	3.55364283047839	687.814999420028	1.33489067115852e-151	2.81518907613967e-149
RP11-823E8.3	-2.71549433550801	5.52923340172583	673.04685626764	2.17273447226333e-148	4.42413691679827e-146
RP11-561I11.3	-4.44214777370768	4.39912714983406	672.265357294736	3.21335376079736e-148	6.32495131916948e-146
KCNIP2-AS1	-2.10926425235452	4.3349814134221	663.877662748617	2.14309540397373e-146	4.08225108402092e-144
CTD-2135D7.5	-2.67727226410002	4.35005338359067	654.455998693124	2.39896722437706e-144	4.42684420623329e-142
LINC00968	-3.55115612540185	6.48144902056088	649.919364760275	2.32620372594343e-143	4.16249484899878e-141
RP11-100L22.1	-3.1930727031496	3.46151429944557	646.915867258943	1.04677104435201e-142	1.81799500497018e-140
MESTIT1	-2.52312872031313	5.6036094354476	636.329048063956	2.10049776375176e-140	3.54383979855833e-138
RP3-414A15.12	-2.05017797021252	6.39619091512846	635.985397510898	2.49495047606814e-140	4.09241182255066e-138
PGM5P4-AS1	-3.37328381987345	2.98063960939659	624.857992519497	6.56399232595263e-138	1.04757769418244e-135
RP5-864K19.4	-1.78345794861053	6.0822200212848	615.670644393711	6.53704559581479e-136	1.01582248008648e-133
RP11-158M2.3	-1.87654227195341	5.37041687710424	614.36681478727	1.25592405784657e-135	1.90159783630359e-133
MRGPRF-AS1	-2.9348480823039	3.06811937810672	611.941534434914	4.23118921109507e-135	6.2462930728791e-133
AP001627.1	-2.9106467281315	4.46544964513461	607.764464265113	3.42755304724932e-134	4.93651237658713e-132
RP11-384P7.7	-3.10133515729056	5.53059930652068	597.984143711554	4.5947833102065e-132	6.46004653494509e-130
AC093850.2	5.83282120610955	9.04992561645201	597.567221654125	5.66173394738596e-132	7.77500906030561e-130
RP11-64C12.8	-3.08944174773521	3.85577395964432	591.166197703554	1.39715609730085e-130	1.87504698967307e-128
RP11-51B23.3	-2.17632593709316	3.66158863326469	580.097192513566	3.57222974793251e-128	4.68755925812032e-126
RP11-61I13.3	-2.26195139978501	6.56896852627634	574.012795572593	7.52369391089492e-127	9.65813316170315e-125
ADAMTS9-AS1	-2.8577815359768	6.66539198732092	571.874580192628	2.19556487868133e-126	2.75847034225814e-124
RP11-464C19.3	-3.57520513914345	3.50304864421682	569.967885542156	5.70561472468196e-126	7.01909478109312e-124
RBMS3-AS3	-2.6377730779136	3.95256774725559	559.015826591701	1.37629068307324e-123	1.65857071092806e-121
RP11-182J1.17	-1.81074187775505	4.40822015413364	558.677688641756	1.63029732014551e-123	1.92538113509185e-121
RP5-839B4.8	-4.14373391879231	4.81491896356076	550.650667239722	9.08748512707878e-122	1.05218822892942e-119
RP11-184I16.4	-3.8983312560971	3.23426412156902	545.030734529858	1.51710669395807e-120	1.72279135150431e-118
RP11-305L7.6	-2.91867354228306	3.56618004935099	543.937066540901	2.62384207769647e-120	2.92335612618824e-118
RP4-755D9.1	-3.15828312898317	7.41744966616915	538.124904831836	4.82343919262799e-119	5.27452008008672e-117
OXCT1-AS1	-2.12495940890996	5.11971045870603	538.069976858099	4.95799803374278e-119	5.32308697986384e-117
RP11-1024P17.1	-2.07542673682101	6.30236648032581	537.740404806703	5.84796233554614e-119	6.16646742703571e-117
CTC-297N7.9	-2.0710815972188	4.43463243803984	534.439724751896	3.05541468119903e-118	3.16530240218953e-116
RP11-679B19.1	-1.90554977437397	6.2657321771214	531.738032577691	1.18258284767723e-117	1.20399167509207e-115
ACTA2-AS1	-2.3914590919553	8.48111463610685	530.692612843088	1.99649089377151e-117	1.9981828352069e-115
RP11-875O11.1	-1.60891354257106	5.93021980356854	530.535480193015	2.15999287989385e-117	2.12579299262886e-115
MIR497HG	-1.80372284320647	7.1600340534549	525.081846559327	3.31840285394932e-116	3.21232276271651e-114
RP4-635E18.7	-1.62720829566817	4.78259603655051	510.227055548967	5.65996701360338e-113	5.39066213150451e-111
AC073130.3	-2.26104570650326	4.15935409119578	504.45136393686	1.02200221983315e-111	9.57924302875354e-110
CTD-2263F21.1	-2.43196944448455	4.19705576456244	499.43940169845	1.25876687487201e-110	1.14468671730353e-108
RBPMS-AS1	-1.93471577588512	6.34477828615246	499.43740339077	1.26002771591414e-110	1.14468671730353e-108
LINC01140	-2.15340582450001	7.83785236950437	480.0125857216	2.12326913030363e-106	1.89968245673378e-104
RP11-474O21.5	-2.24542786102949	5.07580390407617	479.980556654372	2.15761771522681e-106	1.90160188185288e-104
MEF2C-AS1	-2.13270337838315	5.11356339602501	479.095035862832	3.36249949501533e-106	2.91993522324493e-104
MIR100HG	-2.42742338353243	4.50906131685383	474.49123242148	3.37639678411832e-105	2.88951058119111e-103
RP5-875H18.10	-2.80340100205907	2.94185744332764	465.82874493283	2.59103242298844e-103	2.18572092253525e-101
AC002398.12	-3.67476822022265	3.29573819437722	465.184667495451	3.57792847869667e-103	2.97572784038083e-101
HID1-AS1	-1.97884896492695	4.69806074898068	456.867630436241	2.30969158768881e-101	1.89426789240311e-99
AC098617.1	-3.41754800510803	3.29158212514477	456.654437799829	2.57009454333029e-101	2.07896003813224e-99
CTD-2078B5.2	-2.41047793743944	4.09393804494586	453.147836246639	1.48958248842244e-100	1.18864656677493e-98
MIR22HG	-1.41831846339398	10.3865296191988	448.249024851482	1.73451418274683e-99	1.36564083321601e-97
AC135178.7	-2.65653556163861	3.01077852815745	445.277281898991	7.68991697770501e-99	5.97486312544053e-97
TMEM220-AS1	-1.83858924766038	5.90145844956018	442.858994628863	2.58358840471556e-98	1.98131032855135e-96
RP11-517I3.2	-1.72027957139401	7.80408783975823	441.60883801367	4.83395382779438e-98	3.65955094270844e-96
AC097724.3	-1.86468740945523	6.4607468809588	439.980677341	1.09307905676471e-97	8.1704200382223e-96
RP11-6O2.4	-3.09325717833031	4.80242138658874	439.02078031515	1.76832746954728e-97	1.30524671345959e-95
LINC00922	4.76227852029374	6.68043404934988	438.293267461201	2.54623578618401e-97	1.85623732313785e-95
LINC00924	-2.20087411236573	5.77704567381599	437.755733289486	3.33340402371239e-97	2.40045740975874e-95
RP11-276H19.1	-1.97269854352398	6.73944031885566	436.947218589779	4.99866817773828e-97	3.55628139633067e-95
CTA-407F11.8	-2.63403496844502	3.07765887705271	434.383517057735	1.80645456812782e-96	1.26989455057081e-94
RP11-400N13.3	5.77551261943595	5.99030328876407	432.102700585462	5.66549693113718e-96	3.93585404451353e-94
FGF13-AS1	-2.78974172932527	4.44430954823819	430.715171573138	1.1356154957938e-95	7.79745291007252e-94
LEF1-AS1	2.54640671289127	5.29704202202172	429.602168015426	1.98370108965108e-95	1.34640861314824e-93
RP11-31F15.2	-1.80096778817047	5.32152166990986	428.773100434961	3.0055468608131e-95	2.01679025148879e-93
PGM5-AS1	-3.40677795278306	4.14938654713145	426.157895501114	1.11462913692937e-94	7.39537646468307e-93
XXbac-BPGBPG55C20.2	-1.28281334140807	6.97492483426455	419.0768928632	3.87589470664827e-93	2.54301758252867e-91
EMX2OS	-2.20631654025297	8.09100670672681	418.66772391382	4.75809375075068e-93	3.08753226353657e-91
C6orf99	2.96707415380999	6.95881172348073	415.92014355376	1.88575592518994e-92	1.21036834111376e-90
FAM83H-AS1	2.5581903674727	12.4205483375286	412.601966515353	9.94831441141919e-92	6.31664479563767e-90
RP11-696F12.1	-2.69118362863198	3.34393589734418	412.42966775056	1.08456095882897e-91	6.81311964030329e-90
RP11-330O11.3	-1.48368017267601	5.13045824127044	412.207071006509	1.21257023780736e-91	7.53708132026578e-90
LINC00989	-2.01127393844589	4.51179330181754	409.366202431894	5.03602850694798e-91	3.09768211807581e-89
RP11-554A11.4	-2.10242353653951	5.05673290143646	407.239881138416	1.46196962846818e-90	8.89992851144807e-89
RP4-612B15.3	-1.31313495936766	6.28399985345291	405.691657831087	3.17653658610227e-90	1.91402536131978e-88
C6orf3	-1.45035553413445	6.59887765350112	404.481270795095	5.82682175271111e-90	3.47549317674335e-88
RP11-863P13.3	3.48797807786869	6.81990979331039	402.677113919761	1.43934665620815e-89	8.49934200490915e-88
AC009133.12	1.39535480981987	9.11983294671482	401.546783029304	2.5364192273994e-89	1.48292629087064e-87
AP000892.6	-1.93772180146583	9.15641689632323	398.560962349547	1.1329127183609e-88	6.55867608031483e-87
LINC01561	4.91075960557629	5.40705931627922	396.554891260943	3.09670285172539e-88	1.77534275140179e-86
RP11-2E11.9	-1.64856957385123	5.83221204475863	395.661426092477	4.84618944477618e-88	2.7516104491734e-86
RP11-417E7.2	3.90950670682513	8.02156634925222	394.876708092342	7.18172347513517e-88	4.03886448768316e-86
LINC01197	-1.80872879600046	6.58220573536776	392.345324326249	2.5544722561644e-87	1.42303383704253e-85
AC011893.3	4.1754162080531	4.51925196718593	390.57023651613	6.21922560406476e-87	3.43219880299088e-85
AC116035.1	-3.00102080205493	3.16451132065857	387.724413614043	2.58987523326822e-86	1.41603826411563e-84
RP11-517I3.1	-1.73546791984724	5.30420761886406	386.601858769688	4.54637153221767e-86	2.46296549520599e-84
RP11-696N14.1	-1.59554986077884	7.01548107496308	385.925084894888	6.38267929060847e-86	3.426338291913e-84
RP11-571L19.8	-1.27268675604741	6.07637959213979	378.863721338248	2.19962134484909e-84	1.17015892264269e-82
ZEB2-AS1	-1.72333917919169	4.33546232561646	375.796296796833	1.02373306037395e-83	5.39744975134661e-82
CTD-2003C8.2	-2.62457125819809	4.16875780822532	373.539110743397	3.17416697102175e-83	1.65871291715782e-81
LINC00982	-2.19207454189507	5.47004559203641	366.57282561551	1.04329101729671e-81	5.40406443608513e-80
FGF14-AS2	-1.90902196727653	7.21261191413605	365.753050121436	1.57362407162155e-81	8.0802175155872e-80
RP11-547D24.1	2.85241217207738	4.62752756322674	365.214542918324	2.06136341150163e-81	1.04934059869975e-79
RP1-142L7.5	-2.12341032786606	4.52827180486299	364.402952407666	3.09648997613847e-81	1.56280113752972e-79
RP11-375I20.6	-1.83727115365078	4.51459107526868	362.981753126217	6.31426964967209e-81	3.1598103628232e-79
CHL1-AS2	-2.84714449295167	3.64917151192573	362.841192146674	6.77531046082104e-81	3.36203430849985e-79
LINC00641	-1.30791979387412	9.56037233372927	362.7529928995	7.08164133096682e-81	3.48475767161326e-79
CTA-941F9.9	-2.23473479341009	4.02704539908389	356.988158337031	1.27470994364264e-79	6.22079522083453e-78
RP11-108L7.15	2.27755357609789	5.94478800615045	356.664574344419	1.49924487813077e-79	7.25659098800178e-78
RP11-286H15.1	-2.33952085861536	4.44294671505101	356.432350076786	1.68438001916964e-79	8.08639350666401e-78
TPT1-AS1	-1.32213597608227	9.94261019885389	356.156082577661	1.934631470706e-79	9.21290228590236e-78
